username,nickname,is_verified,is_privateAcc,author_num_likes,author_num_followers,author_num_following,author_num_hearts,author_num_videos,vid_created_time,vid_desc,vid_likes,vid_plays,vid_shares,vid_comments,vid_duration,video_playAddr
startingelevenid,Starting Eleven,False,False,337,445100,43,24200000,3425,2022-03-07 12:05:00,Kenapa Messi Meminta Bertukar Jersey dengan Falaye Sacko #startingeleven #beritabola #timmerahputih#beritabolatiktok #lionelmessi #falayesacko,260600,4500000,209,518,42,https://v16m-webapp.tiktokcdn-us.com/f3972bbda9629285cc7f593056f69cbe/63605ef9/video/tos/alisg/tos-alisg-pve-0037/c9a24625837840fda63b0d15c1b87a26/?a=1988&ch=0&cr=0&dr=0&lr=tiktok&cd=0%7C0%7C1%7C0&cv=1&br=3274&bt=1637&cs=0&ds=3&ft=ebtHKHp8Myq8ZIjjNhe2NYqdfl7Gb&mime_type=video_mp4&qs=0&rc=ZWdpNmU6ZzxlaDplaWk4M0BpM25xbzg6ZmpxOzMzODgzNEBiMi1hMzReNWAxNF9gMjIwYSNkaGRtcjRfMWZgLS1kLy1zcw%3D%3D&l=20221031174831711D4387128BBF067D43
faanssbola,FootbalEditor🪐,False,False,4630,46100,1977,588600,38,2022-03-07 20:37:20,yang mau request silahkan 🧟 #lionelmessi #neymar #paulodybala #xyzbca #fyp #masukberanda,386100,3600000,9982,7521,21,https://v16m-webapp.tiktokcdn-us.com/544b76609b18b92862f974bebe9d3de0/63605ee8/video/tos/useast2a/tos-useast2a-pve-0037-aiso/ea4d709f517245a4a6d80efb81cb3233/?a=1988&ch=0&cr=0&dr=0&lr=tiktok&cd=0%7C0%7C1%7C0&cv=1&br=2366&bt=1183&cs=0&ds=3&ft=ebtHKHp8Myq8ZAjjNhe2NBKqfl7Gb&mime_type=video_mp4&qs=0&rc=aDc1Z2QzNzlpaDpnOjc1OUBpM3lwMzw6Znh5OzMzZjgzM0AuYzAzYi8zXmAxYWJiNTNjYSNkLmdkcjQwa2ZgLS1kL2Nzcw%3D%3D&l=20221031174835BEFED7A55A28AA062909
muehlhousesi,muehlhousesi,False,False,2478,834300,14,11600000,1877,2022-03-09 01:59:10,@hussein044shingali antworten What are your Tips for the #championsleague Wednesday 🤔🤯🔥 #unserfussball #muehlhouse #football #foryou #realmadrid #parissaintgermain #lionelmessi,787100,16200000,7674,17200,14,https://v16m-webapp.tiktokcdn-us.com/1cdf24c580a6c43c54ceb8430eeaf6a8/63605ed8/video/tos/maliva/tos-maliva-ve-0068c800-us/61b4cbc79c0e44ea9a93c43cae96674d/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=2230&bt=1115&cs=0&ds=3&ft=ebtHKHp8Myq8ZJjjNhe2NnBGfl7Gb&mime_type=video_mp4&qs=0&rc=M2hkaWQ0Zzw3PGYzM2lmPEBpanh0amU6ZmxzOzMzNzczM0AxMV40YzA1Xy4xYzJgMzY2YSNgazRzcjRvZmdgLS1kMTZzcw%3D%3D&l=20221031174825733A3B917461F5060013
tenkanfootball,AllFootball,False,False,62200,56500,63,1700000,143,2022-03-12 10:27:35,End of an Era… 🐐 #footballtiktok #fyp #foryou #foryoupage #football #soccer #messi #ronaldo #lionelmessi #cristianoronaldo #goat,735300,3400000,18200,9270,209,https://v16m-webapp.tiktokcdn-us.com/f1ff2464e2ca4e07b5fe99ec4ee722ce/63605f9b/video/tos/useast2a/tos-useast2a-ve-0068c002/c2e6477ed1aa466e865e90b57d09a6db/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=2280&bt=1140&cs=0&ds=3&ft=ebtHKHp8Myq8ZJjjNhe2NnBGfl7Gb&mime_type=video_mp4&qs=0&rc=ZWQ4MzlpZ2VlOmU1ZzMzZEBpMzxveGg6Zmh5OzMzNzczM0BhYjAvLS0vXzExMl5eM2FfYSM2azFqcjRnbGlgLS1kMTZzcw%3D%3D&l=20221031174825733A3B917461F5060013
the_arts_of_football,TheArtOfFootball,False,False,137700,42600,1936,908800,367,2022-03-13 03:12:54,Messi 😳#messi #lionelmessi #realmadrid #barca #ronaldo #football #foryoupage #foryou #fypシ,189500,1400000,2162,3132,15,https://v16m-webapp.tiktokcdn-us.com/2cc973ad212c7b5d6f6f69f860080874/63605ee2/video/tos/alisg/tos-alisg-pve-0037c001/459cd8e7a99c407593f7937c2d54d2ad/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=3876&bt=1938&cs=0&ds=3&ft=ebtHKHp8Myq8ZAjjNhe2NBKqfl7Gb&mime_type=video_mp4&qs=0&rc=OGdoZzs3ZzQ4ZTU1NGRlZUBpamR1aGg6ZnBoOzMzODczNEAzMy9fYDU0Nl4xMi1jLjYwYSNgNV5wcjQwc2pgLS1kMS1zcw%3D%3D&l=20221031174835BEFED7A55A28AA062909
maguire.tiktok11,MAGUIRE MOBILE LEGEND,False,False,149,27300,7,697100,24,2022-03-20 20:12:44,Siapa yg akan menjadi penerus GOAT di masa depan??? #cristianoronaldo #lionelmessi #thiagomessi #crjunior #ballondor #fyp #fypシ,325100,3900000,483,1708,86,https://v16m-webapp.tiktokcdn-us.com/eef018a2026f2b6880850ef09a677da6/63605f23/video/tos/useast2a/tos-useast2a-pve-0037-aiso/20264e17461947a7b3f9806dca261447/?a=1988&ch=0&cr=0&dr=0&lr=tiktok&cd=0%7C0%7C1%7C0&cv=1&br=2110&bt=1055&cs=0&ds=3&ft=ebtHKHp8Myq8ZQjjNhe2NCG-fl7Gb&mime_type=video_mp4&qs=0&rc=NGQ5NDVlNjk5N2RkM2Y2aUBpM2xoeGg6ZnNrOzMzZjgzM0BfLjA1Yi5iNl8xXzBfYy4yYSNnZjFkcjRnZm9gLS1kL2Nzcw%3D%3D&l=20221031174829493425C26264D90629AF
feliponcho_,feliponcho_,False,False,14800,97900,184,1400000,302,2022-03-21 18:45:41,#Messi #lio #lionelmessi #psg #barca #viral #parati #fypシ,489300,2700000,9314,4374,52,https://v16m-webapp.tiktokcdn-us.com/410f24a7e1812586860761cc070935f8/63605eff/video/tos/useast2a/tos-useast2a-ve-0068c002/e812ac1583ae484088997f1ca5d06bc7/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C0%7C0&br=1222&bt=611&cs=0&ds=1&ft=ebtHKHp8Myq8ZxjjNhe2Ncuufl7Gb&mime_type=video_mp4&qs=0&rc=N2U8OjY6O2U2ZzNlaTtkZ0BpajtnN2k6ZnA4OzMzNzczM0BeNF4wLTRjNmAxMTVjNTY0YSNzM3FwcjQwYXBgLS1kMTZzcw%3D%3D&l=202210311748278D9F9D025B768E0660D2
messi_lm30_1,𝙼𝚎𝚜𝚜𝚒_𝙻𝚖30_1,False,False,3551,403200,308,13400000,236,2022-03-22 03:37:36,The Barça fans🥶😳 #messi #lionelmessi #football #fyp,225500,2100000,1875,521,13,https://v16m-webapp.tiktokcdn-us.com/428e76966c55477ece7234fea37f267b/63605ede/video/tos/useast2a/tos-useast2a-ve-0068c001/685600cb12634feda23250c13e45defe/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=4012&bt=2006&cs=0&ds=3&ft=ebtHKHp8Myq8ZHjjNhe2NzPefl7Gb&mime_type=video_mp4&qs=0&rc=Omc5M2Y3NjM5OzlkZTpkO0BpanI6Omk6ZjxnOzMzNzczM0AvY19jNi9gXzExYS9hXjEtYSNeYmxxcjRfNHBgLS1kMTZzcw%3D%3D&l=2022103117483394D6109A1DB49F0651A9
obeyx7,Obay,False,False,50700,15700,169,1100000,22,2022-03-22 06:25:33,It’s true tho#fypシ #xyzbca #football #halamadrid #realmadrid #fyp #benzema #cristianoronaldo #lionelmessi #lewandowski,187700,1700000,5133,6242,21,https://v16m-webapp.tiktokcdn-us.com/567f023d285660e2222120c774db5d7d/63605ee8/video/tos/maliva/tos-maliva-ve-0068c800-us/d4c1320a534c4e6cafea3bac1a577ba9/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=4578&bt=2289&cs=0&ds=3&ft=ebtHKHp8Myq8ZAjjNhe2NBKqfl7Gb&mime_type=video_mp4&qs=0&rc=OWYzO2Q6NDM1OjgzOWY5ZUBpMzQ4ZDs6ZjVpOzMzNzczM0BeLi8tMGNfX18xNTViNV40YSMtZGtpcjRvanBgLS1kMTZzcw%3D%3D&l=20221031174835BEFED7A55A28AA062909
rc97football,RC97 football,False,False,739,1700000,72,34500000,639,2022-03-22 07:00:27,#futebol #futbol #football #respectfootball #tiktokfootball #messi #futebolcomedia #footballcomedy #lionelmessi,650200,6300000,9478,5008,18,https://v16m-webapp.tiktokcdn-us.com/9e13ddd978a5723a8738b4c7cceec4e2/63605edc/video/tos/useast2a/tos-useast2a-ve-0068c004/984d69db8d744387a48d3b87fb3fcf64/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=2034&bt=1017&cs=0&ds=3&ft=ebtHKHp8Myq8ZJjjNhe2NnBGfl7Gb&mime_type=video_mp4&qs=0&rc=ZjU4ZDU0NTY8MzVnZjhnOUBpMzx0cmc6ZnhqOzMzNzczM0AyYy9fLzE1XzYxMjYvY14xYSNhay9jcjRfMnBgLS1kMTZzcw%3D%3D&l=20221031174825733A3B917461F5060013
